paper_id,title,doi,reason
REFINE-0019,Specificity of abnormal brain volume in major depressive disorder: A comparison with borderline personality disorder,10.1016/j.jad.2014.11.059,Publisher HTTP 403: hdl.handle.net
REFINE-0021,Brain structure associated with automatic thoughts predicted depression symptoms in healthy individuals,10.1016/j.pscychresns.2015.03.002,DOI landing page unresolved
REFINE-0023,Altered gray matter volumes and plasma IL-6 level in major depressive disorder patients with suicidal ideation,10.1016/j.nicl.2023.103403,Publisher HTTP 403: doaj.org
REFINE-0024,The gray matter volume of the right insula mediates the relationship between symptoms of depression/anxiety and sleep quality among college students,10.1177/1359105319869977,Publisher HTTP 403: doi.org
REFINE-0026,Brain morphometry and connectivity differs between adolescent- and adult-onset major depressive disorder,10.1002/da.23254,Publisher HTTP 403: doi.org
REFINE-0027,Insular volume reductions in patients with major depressive disorder,10.1016/j.npbr.2019.06.002,Repository landing page unresolved
REFINE-0028,Shared Transdiagnostic Neuroanatomical Signatures Across First-episode Patients with Major Psychiatric Diseases and Individuals at Familial Risk,10.1016/j.nicl.2022.103074,Publisher HTTP 403: doaj.org
REFINE-0029,Relationship between a BDNF gene polymorphism and the brain volume in treatment-naive patients with major depressive disorder: A VBM analysis of brain MRI,10.1016/j.pscychresns.2015.05.016,DOI landing page unresolved
REFINE-0030,Association of brain cortical changes with relapse in patients with major depressive disorder,10.1001/jamapsychiatry.2018.0123,Publisher HTTP 403: jamanetwork.com
REFINE-0032,Functional and anatomical brain deficits in drug-naive major depressive disorder,10.1016/j.pnpbp.2014.05.008,DOI landing page unresolved
REFINE-0033,Structural abnormalities of cingulate cortex in patients with first‐episode drug‐naïve schizophrenia comorbid with depressive symptoms,10.1002/hbm.25315,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0034,"Structural brain abnormalities in women with subclinical depression, as revealed by voxel-based morphometry and diffusion tensor imaging",10.1016/j.jad.2012.10.023,DOI landing page unresolved
REFINE-0036,COMT Val158Met × SLC6A4 5-HTTLPR interaction impacts on gray matter volume of regions supporting emotion processing,10.1093/scan/nst089,Publisher HTTP 403: academic.oup.com
REFINE-0037,The embodied emotion in cerebellum: A neuroimaging study of alexithymia,10.1007/s00429-014-0790-0,Publisher HTTP 403: hdl.handle.net
REFINE-0038,Prediction of anxious depression using multimodal neuroimaging and machine learning,10.1016/j.neuroimage.2023.120499,Publisher HTTP 403: doaj.org
REFINE-0040,The role of ventromedial prefrontal cortex volume in the association of expressive suppression and externally oriented thinking,10.1016/j.jad.2017.06.054,DOI landing page unresolved
REFINE-0041,Predicting differential diagnosis between bipolar and unipolar depression with multiple kernel learning on multimodal structural neuroimaging,10.1016/j.euroneuro.2020.03.008,Publisher HTTP 403: hdl.handle.net
REFINE-0044,Hippocampus-driving progressive structural alterations in medication-naïve major depressive disorder,10.1016/j.jad.2019.05.053,DOI landing page unresolved
REFINE-0045,Neurobiological predictors for clinical trajectories in fully remitted depressed patients,10.1002/da.23108,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0048,Sex differences of gray matter morphology in cortico-limbic-striatal neural system in major depressive disorder,10.1016/j.jpsychires.2013.02.003,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0051,Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry-pattern classification approach,10.1001/jamapsychiatry.2014.1100,Publisher HTTP 403: doi.org
REFINE-0052,Replication of a hippocampus specific effect of the tescalcin regulating variant rs7294919 on gray matter structure,10.1016/j.euroneuro.2020.03.021,DOI landing page unresolved
REFINE-0054,Association between stressful life events and grey matter volume in the medial prefrontal cortex: A 2-year longitudinal study,10.1002/hbm.25869,Publisher HTTP 403: doi.org
REFINE-0055,Alexithymia is related to differences in gray matter volume: A voxel-based morphometry study,10.1016/j.brainres.2012.10.044,DOI landing page unresolved
REFINE-0056,Gray and white matter abnormalities in major depressive disorder patients and its associations with childhood adversity,10.1016/j.jad.2023.02.145,DOI landing page unresolved
REFINE-0057,Convergent molecular and structural neuroimaging signatures of first-episode depression,10.1016/j.jad.2022.09.132,DOI landing page unresolved
REFINE-0058,NCAN cross-disorder risk variant is associated with limbic gray matter deficits in healthy subjects and major depression,10.1038/npp.2015.86,
REFINE-0059,Aberrant Prefrontal-Thalamic-Cerebellar Circuit in Schizophrenia and Depression: Evidence from a Possible Causal Connectivity,10.1142/s0129065718500326,Publisher HTTP 403: doi.org
REFINE-0060,Disadvantage of Social Sensitivity: Interaction of Oxytocin Receptor Genotype and Child Maltreatment on Brain Structure,10.1016/j.biopsych.2015.12.010,DOI landing page unresolved
REFINE-0061,Decreased regional gray matter volume in S’ allele carriers of the 5-HTTLPR triallelic polymorphism,10.1038/mp.2010.112,
REFINE-0062,Brain structural correlates of alexithymia in patients with major depressive disorder,10.1503/jpn.190044,Publisher HTTP 403: doi.org
REFINE-0063,Childhood maltreatment moderates the influence of genetic load for obesity on reward related brain structure and function in major depression,10.1016/j.psyneuen.2018.09.027,DOI landing page unresolved
REFINE-0065,Grey matter volume abnormalities in patients with bipolar I depressive disorder and unipolar depressive disorder: A voxel-based morphometry study,10.1007/s12264-014-1485-5,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0066,Childhood maltreatment is associated with gray matter volume abnormalities in patients with first-episode depression,10.1016/j.pscychresns.2017.07.005,DOI landing page unresolved
REFINE-0067,Are you gonna leave me? Separation anxiety is associated with increased amygdala responsiveness and volume,10.1093/scan/nsu055,Publisher HTTP 403: academic.oup.com
REFINE-0069,Interaction of recent stressful life events and childhood abuse on orbitofrontal grey matter volume in adults with depression,10.1016/j.jad.2022.06.050,DOI landing page unresolved
REFINE-0070,Association of a SIRT1 polymorphism with changes of gray matter volume in patients with first-episode medication-naïve major depression,10.1016/j.pscychresns.2020.111101,DOI landing page unresolved
REFINE-0073,Limbic scars: Long-term consequences of childhood maltreatment revealed by functional and structural magnetic resonance imaging,10.1016/j.biopsych.2011.10.021,Publisher HTTP 403: www.biologicalpsychiatryjournal.com
REFINE-0075,Gray matter volumetric correlates of the polygenic risk of depression: A study of the Human Connectome Project data,10.1016/j.euroneuro.2024.06.004,DOI landing page unresolved
REFINE-0076,Anatomical brain difference of subthreshold depression in young and middle-aged individuals,10.1016/j.nicl.2017.02.022,Publisher HTTP 403: doaj.org
REFINE-0077,Larger amygdala volume in first-degree relatives of patients with major depression,10.1016/j.nicl.2014.05.015,Publisher HTTP 403: doaj.org
REFINE-0078,Common and distinct abnormal frontal-limbic system structural and functional patterns in patients with major depression and bipolar disorder,10.1016/j.nicl.2018.07.002,Publisher HTTP 403: doaj.org
REFINE-0079,Prefrontal cortical abnormalities in currently depressed versus currently remitted patients with major depressive disorder,10.1016/j.neuroimage.2010.11.011,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0080,Structural brain abnormalities in multiple sclerosis patients with major depression,10.1212/01.wnl.0000110316.12086.0c,Publisher HTTP 403: doi.org
REFINE-0081,Biobehavioral threat sensitivity and amygdala volume: A twin neuroimaging study,10.1016/j.neuroimage.2018.10.065,Publisher HTTP 403: www.sciencedirect.com
REFINE-0083,Correlation between neurochemical metabolism and memory function in adolescent patients with depression: A multi‐voxel 1H magnetic resonance spectroscopy study,10.1111/pcn.12372,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0084,The relationship of anxious and depressive symptoms in Parkinson’s disease with voxel-based neuroanatomical and functional connectivity measures,10.1016/j.jad.2018.10.364,DOI landing page unresolved
REFINE-0085,Depressive disorder–associated microglia as a target for a personalized antidepressant approach,10.1016/j.biopsych.2023.07.002,DOI landing page unresolved
REFINE-0086,Depressogenic self-schemas are associated with smaller regional grey matter volume in never-depressed preadolescents,10.1016/j.nicl.2020.102422,Publisher HTTP 403: www.sciencedirect.com
REFINE-0087,Elevated amygdala perfusion mediates developmental sex differences in trait anxiety,10.1016/j.biopsych.2016.04.021,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0089,The D-allele of ACE insertion/deletion polymorphism is associated with regional white matter volume changes and cognitive impairment in remitted geriatric depression,10.1016/j.neulet.2010.05.076,DOI landing page unresolved
REFINE-0090,Comparison of regional gray matter volume abnormalities in Alzheimer’s disease and late life depression with hippocampal atrophy using VSRAD analysis: A voxel-based morphometry study,10.1016/j.pscychresns.2015.01.018,DOI landing page unresolved
REFINE-0091,Regional gray matter reductions are associated with genetic liability for anxiety and depression: An MRI twin study,10.1016/j.jad.2013.01.019,DOI landing page unresolved
REFINE-0092,Cerebral amyloid accumulation is associated with distinct structural and functional alterations in the brain of depressed elders with mild cognitive impairment,10.1016/j.jad.2020.12.049,DOI landing page unresolved
REFINE-0093,The effect of trait anxiety on risk‐taking: Functional coupling between right hippocampus and left insula,10.1111/psyp.13629,Publisher HTTP 403: doi.org
REFINE-0094,"Right dorsolateral prefrontal cortex volumetric reduction is associated with antidepressant effect of low-dose ketamine infusion: A randomized, double-blind, midazolam-controlled PET-MRI clinical trial",10.1016/j.jad.2023.05.024,DOI landing page unresolved
REFINE-0096,Male elderly subthreshold depression patients have smaller volume of medial part of prefrontal cortex and precentral gyrus compared with age-matched normal subjects: A voxel-based morphometry,10.1016/j.jad.2005.08.003,DOI landing page unresolved
REFINE-0097,Neuroinflammation in the amygdala is associated with recent depressive symptoms,10.1016/j.bpsc.2023.04.011,DOI landing page unresolved
REFINE-0098,"A subtle grey-matter increase in first-episode, drug-naive major depressive disorder with panic disorder after 6 weeks’ duloxetine therapy",10.1017/s1461145710000829,Publisher HTTP 403: academic.oup.com
REFINE-0099,The brain-derived neurotrophic factor VAL66MET polymorphism and cerebral white matter hyperintensities in late-life depression,10.1097/jgp.0b013e3181591c30,DOI landing page unresolved
REFINE-0100,Biophysical mechanisms of electroconvulsive therapy-induced volume expansion in the medial temporal lobe: A longitudinal in vivo human imaging study,10.1016/j.brs.2021.06.011,Publisher HTTP 403: doaj.org
REFINE-0101,Multimodal MRI markers support a model of small vessel ischemia for depressive symptoms in very old adults,10.1016/j.pscychresns.2014.08.009,Publisher HTTP 403: escholarship.org
REFINE-0102,Alterations in brain grey matter structures in patients with Crohn’s disease and their correlation with psychological distress,10.1093/ecco-jcc/jjv057,Publisher HTTP 403: academic.oup.com
REFINE-0104,Cortical and subcortical abnormalities in late-onset depression with history of suicide attempts investigated with MRI and voxel-based morphometry,10.1177/0891988710363713,Publisher HTTP 403: doi.org
REFINE-0106,Effect of childhood physical abuse on social anxiety is mediated via reduced frontal lobe and amygdala-hippocampus complex volume in adult clinical high-risk subjects,10.1016/j.schres.2020.05.041,Repository landing page unresolved
REFINE-0107,Combined treatment with escitalopram and memantine increases gray matter volume and cortical thickness compared to escitalopram and placebo in a pilot study of geriatric depression,10.1016/j.jad.2020.05.092,Publisher HTTP 403: escholarship.org
REFINE-0108,Somatostatin receptor subtype 4 activation is involved in anxiety and depression-like behavior in mouse models,10.1016/j.neuropharm.2015.09.021,DOI landing page unresolved
REFINE-0109,No consistent difference in gray matter volume between individuals with fibromyalgia and age-matched healthy subjects when controlling for affective disorder,10.1016/j.pain.2009.03.017,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0110,Subcortical white matter lesions and functional impairment in geriatric depression,10.1002/da.1081,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0111,Association of electroconvulsive therapy-induced structural plasticity with clinical remission,10.1016/j.pnpbp.2021.110286,Publisher HTTP 403: www.sciencedirect.com
REFINE-0112,Gray matter regions statistically mediating the cross‐sectional association of eotaxin and set‐shifting among older adults with major depressive disorder,10.1002/gps.4585,Publisher HTTP 403: doi.org
REFINE-0113,Decreased hippocampal volume in healthy girls at risk of depression,10.1001/archgenpsychiatry.2009.202,Publisher HTTP 403: doi.org
REFINE-0114,Increased Brain Gray Matter in the Primary Somatosensory Cortex is Associated with Increased Pain and Mood Disturbance in Patients with Interstitial Cystitis/Painful Bladder Syndrome,10.1016/j.juro.2014.08.042,Publisher HTTP 403: doi.org
REFINE-0115,Maternal depression during pregnancy alters infant subcortical and midbrain volumes,10.1016/j.jad.2021.05.008,DOI landing page unresolved
REFINE-0116,Metabolic compensation and depression in Alzheimer’s disease,10.1159/000257761,Publisher HTTP 403: doi.org
REFINE-0117,Vertex-wise examination of depressive symptom dimensions and brain volumes in older adults,10.1016/j.pscychresns.2016.12.008,Publisher HTTP 403: www.sciencedirect.com
REFINE-0118,Cortical thinning in preschoolers with maladaptive guilt,10.1016/j.pscychresns.2020.111195,PMCID found but no valid PDF URL from PMC OA service or page parsing
REFINE-0120,Influence of the MTHFR C677T polymorphism on magnetic resonance imaging hyperintensity volume and cognition in geriatric depression,10.1097/jgp.0b013e3181aad5b2,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0121,Identification of specific neural circuit underlying the key cognitive deficit of remitted late-onset depression: A multi-modal MRI and machine learning study,10.1016/j.pnpbp.2020.110192,DOI landing page unresolved
REFINE-0122,Regional gray matter abnormalities in pre-adolescent binge eating disorder: A voxel-based morphometry study,10.1016/j.psychres.2022.114473,Publisher HTTP 403: manuscript.elsevier.com
REFINE-0124,Preliminary results from a pilot study examining brain structure in older adult cannabis users and nonusers,10.1016/j.pscychresns.2019.02.001,HTTP 503
REFINE-0125,Gray matter volume of rostral anterior cingulate cortex predicts rapid antidepressant response to ketamine,10.1016/j.euroneuro.2020.11.017,DOI landing page unresolved
REFINE-0126,Structural brain differences predict early traumatic memory processing,10.1111/psyp.13354,Publisher HTTP 403: doi.org
REFINE-0128,Gray matter anomalies in anterior cingulate cortex as a correlate of depressive symptoms in drug-naïve idiopathic restless legs syndrome,10.1016/j.neuroscience.2014.06.045,DOI landing page unresolved
REFINE-0129,"Epidemiology of MRI-defined vascular depression: A longitudinal, community-based study in Korean elders",10.1016/j.jad.2015.04.008,DOI landing page unresolved
REFINE-0132,Reduced cerebral blood flow within the default-mode network and within total gray matter in major depression,10.1089/brain.2012.0101,Publisher HTTP 403: doi.org
REFINE-0133,Influence of the topography of brain damage on depression and fatigue in patients with multiple sclerosis,10.1177/1352458513493684,Publisher HTTP 403: doi.org
REFINE-0134,Neural correlates of the association between depression and high density lipoprotein cholesterol change,10.1016/j.jpsychires.2020.07.012,DOI landing page unresolved
REFINE-0136,The neural substrates responsible for how trait anxiety affects delay discounting: Right hippocampal and cerebellar connectivity with bistable right inferior parietal lobule,10.1111/psyp.13495,Publisher HTTP 403: doi.org
REFINE-0137,Maternal prenatal lead levels and neonatal brain volumes: Testing moderations by maternal depressive symptoms and family income,10.1016/j.ntt.2024.107322,Publisher HTTP 403: www.sciencedirect.com
REFINE-0140,In vivo relationship between serotonin 1A receptor binding and gray matter volume in the healthy brain and in major depressive disorder,10.1007/s00429-018-1649-6,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0142,Brain structural correlates of depressive symptoms in Parkinson’s disease patients at different disease stage,10.1016/j.pscychresns.2019.111029,DOI landing page unresolved
REFINE-0143,Structural correlates of apathy in Alzheimer’s disease: a multimodal MRI study,10.1002/gps.4548,Publisher HTTP 403: doi.org
REFINE-0144,Short-term group cognitive behavior therapy contributes to recovery from mild depression: Evidence from functional and structural MRI,10.1016/j.pscychresns.2016.04.010,DOI landing page unresolved
REFINE-0145,Subcortical lesion severity and orbitofrontal cortex volume in geriatric depression,10.1016/s0006-3223(03)00063-5,DOI landing page unresolved
REFINE-0146,Imaging correlates of apathy and depression in Parkinson’s disease,10.1016/j.jns.2011.07.006,DOI landing page unresolved
REFINE-0147,Social cognition and frontal lobe pathology in schizophrenia: A voxel-based morphometric study,10.1016/j.neuroimage.2006.10.046,DOI landing page unresolved
REFINE-0149,Apoptotic Proteins in the Temporal Cortex in Schizophrenia: High Bax/Bcl-2 Ratio Without Caspase-3 Activation,10.1176/appi.ajp.161.1.109,Publisher HTTP 403: doi.org
REFINE-0150,Cortical thickness predicts the first onset of major depression in adolescence,10.1016/j.ijdevneu.2015.07.007,Publisher HTTP 403: doi.org
REFINE-0152,Prepartum and postpartum maternal depressive symptoms are related to children’s brain structure in preschool,10.1016/j.biopsych.2015.12.004,Repository landing page unresolved
REFINE-0153,Cerebral Benzodiazepine Receptors in Depressed Patients Measured with [123I]iomazenil SPECT,10.1016/s0006-3223(02)01788-2,DOI landing page unresolved
REFINE-0155,Orbitofrontal cortex grey matter volume is related to children’s depressive symptoms,10.1016/j.nicl.2020.102395,Publisher HTTP 403: doaj.org
REFINE-0158,Subthreshold depression and regional brain volumes in young community adolescents,10.1016/j.jaac.2015.07.006,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0161,Reduced thalamic volume in men with antisocial personality disorder or schizophrenia and a history of serious violence and childhood abuse,10.1016/j.eurpsy.2012.03.002,Publisher HTTP 403: orca.cardiff.ac.uk
REFINE-0162,Morphometric changes of gray matter in Parkinson’s disease with depression: A voxel-based morphometry study,10.1002/mds.21765,Publisher HTTP 403: doi.org
REFINE-0163,Depression is associated with hippocampal volume loss in adults with HIV,10.1002/hbm.25451,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0164,Large-scale structural network change correlates with clinical response to rTMS in depression,10.1038/s41386-021-01256-3,
REFINE-0165,Tissue type-specific bioenergetic abnormalities in adults with major depression,10.1038/npp.2016.180,
REFINE-0167,Gray matter changes in late life depression—A structural MRI analysis,10.1038/sj.npp.1301655,
REFINE-0168,Impact of lingual gyrus volume on antidepressant response and neurocognitive functions in Major Depressive Disorder: A voxel-based morphometry study,10.1016/j.jad.2014.08.018,Publisher HTTP 403: nottingham-repository.worktribe.com
REFINE-0169,Prolactin mediates the relationship between regional gray matter volume and postpartum depression symptoms,10.1016/j.jad.2022.01.051,DOI landing page unresolved
REFINE-0170,"Clinical, cortical thickness and neural activity predictors of future affective lability in youth at risk for bipolar disorder: Initial discovery and independent sample replication",10.1038/s41380-018-0273-4,PMCID found but no valid PDF URL from PMC OA service or page parsing
REFINE-0171,"Structural deficits in the emotion circuit and cerebellum are associated with depression, anxiety and cognitive dysfunction in methadone maintenance patients: A voxel-based morphometric study",10.1016/j.pscychresns.2011.05.009,DOI landing page unresolved
REFINE-0172,Anterior cingulate volume predicts response to cognitive behavioral therapy in major depressive disorder,10.1016/j.jad.2014.12.009,DOI landing page unresolved
REFINE-0173,A specific pattern of gray matter atrophy in Alzheimer’s disease with depression,10.1007/s00415-017-8603-z,Repository landing page unresolved
REFINE-0174,Morphometric analysis of vascular pathology in the orbitofrontal cortex of older subjects with major depression,10.1002/gps.3911,Publisher HTTP 403: doi.org
REFINE-0175,Astrocytic hypertrophy in anterior cingulate white matter of depressed suicides,10.1038/npp.2011.154,
REFINE-0176,Prefrontal-amygdala emotion regulation and depression in multiple sclerosis,10.1093/braincomms/fcac152,Publisher HTTP 403: academic.oup.com
REFINE-0179,Cortical thickness and VBM-DARTEL in late-life depression,10.1016/j.jad.2011.04.010,DOI landing page unresolved
REFINE-0181,Gray matter reorganization underpinnings of antidepressant treatment of persistent depressive disorder,10.1016/j.euroneuro.2020.12.009,DOI landing page unresolved
REFINE-0182,Pattern of brain atrophy in elderly patients with depression revealed by voxel-based morphometry,10.1016/j.pscychresns.2007.12.018,DOI landing page unresolved
REFINE-0183,Depression and agitation factors are related to regional brain atrophy and faster longitudinal cognitive decline in mild cognitive impairment,10.3233/jad-230929,Publisher HTTP 403: doi.org
REFINE-0184,Depressive symptoms combined with auditory hallucinations are accompanied with severe gray matter brain impairments in patients with first-episode untreated schizophrenia – A pilot study in China,10.1016/j.neulet.2020.135033,DOI landing page unresolved
REFINE-0186,Correlation between gray matter volume in the temporal lobe and depressive symptoms in patients with Alzheimer’s disease,10.1016/j.neulet.2013.05.021,DOI landing page unresolved
REFINE-0187,Apathy in persons living with HIV disease: A systematic narrative review,10.1016/j.jad.2024.01.016,DOI landing page unresolved
REFINE-0188,Association of major depressive disorder with altered functional brain response during anticipation and processing of heat pain,10.1001/archpsyc.65.11.1275,Publisher HTTP 403: doi.org
REFINE-0189,Amygdala grey matter volume increase in gambling disorder with depression symptoms of clinical relevance: A voxel-based morphometry study,10.1080/14459795.2018.1452276,Publisher HTTP 403: doi.org
REFINE-0190,Anatomic location and laterality of MRI signal hyperintensities in late-life depression,10.1016/s0022-3999(02)00425-7,DOI landing page unresolved
REFINE-0191,Antidepressant Exposure May Protect Against Decrement in Frontal Gray Matter Volumes in Geriatric Depression,10.4088/jcp.v66n0801,DOI landing page unresolved
REFINE-0193,Brain density in depression: Methodological and psychopathological aspects,10.1111/j.1600-0447.1988.tb06392.x,Publisher HTTP 403: doi.org
REFINE-0196,Bidirectional associations between perinatal allopregnanolone and depression severity with postpartum gray matter volume in adult women,10.1111/acps.13723,Publisher HTTP 403: doi.org
REFINE-0197,Neutrophil to lymphocyte ratio is a transdiagnostic biomarker of depression and structural and functional brain alterations in older adults,10.1016/j.jneuroim.2022.577831,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0198,Neuromodulation in response to electroconvulsive therapy in schizophrenia and major depression,10.1016/j.brs.2017.01.578,Publisher HTTP 403: doaj.org
REFINE-0199,Anatomical correlates of quality of life: Evidence from voxel-based morphometry,10.1002/hbm.22294,Publisher HTTP 403: onlinelibrary.wiley.com
REFINE-0200,Brain structures and functional connectivity in neglected children with no other types of maltreatment,10.1016/j.neuroimage.2024.120589,Publisher HTTP 403: doaj.org
REFINE-0201,Hyperconnectivity and altered interactions of a nucleus accumbens network in post-stroke depression,10.1093/braincomms/fcac281,Publisher HTTP 403: academic.oup.com
REFINE-0202,Neuroanatomical predictors of response to subcallosal cingulate deep brain stimulation for treatment-resistant depression,10.1503/jpn.180207,Publisher HTTP 403: doi.org
REFINE-0203,Effects of the BDNF Val66Met Polymorphism on Gray Matter Volume in Typically Developing Children and Adolescents,10.1093/cercor/bhw020,Publisher HTTP 403: academic.oup.com
REFINE-0204,"Comparison of brain structural variables, neuropsychological factors, and treatment outcome in early-onset versus late-onset late-life depression",10.1016/j.jagp.2013.02.005,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0206,Patterns of reduced cortical thickness in late-life depression and relationship to psychotherapeutic response,10.1016/j.jagp.2013.01.013,Publisher HTTP 403: escholarship.org
REFINE-0207,Prefrontal cortex and amygdala volume in first minor or major depressive episode after cancer diagnosis,10.1016/j.biopsych.2005.08.018,DOI landing page unresolved
REFINE-0208,Neuropsychological functioning and MRI signal hyperintensities in geriatric depression,,Publisher HTTP 403: www.ahajournals.org
REFINE-0210,Cortical changes associated with depression and antidepressant use in Alzheimer and Lewy body dementia: An MRI surface-based morphometric study,10.1016/j.jagp.2013.02.004,Publisher HTTP 403: www.ajgponline.org
REFINE-0212,In vivo structural and functional abnormalities of the striatums is related to decreased astrocytic BDNF in Itpr2-/- mice exhibiting depressive-like behavior,10.1155/2020/8830670,Publisher HTTP 403: downloads.hindawi.com
REFINE-0214,"Early childhood cumulative risk is associated with decreased global brain measures, cortical thickness, and cognitive functioning in school‐age children",10.1002/dev.21956,Publisher HTTP 403: doi.org
REFINE-0215,Depression symptoms moderate the relationship between gray matter volumes and cognitive function in patients with mild cognitive impairment,10.1016/j.jpsychires.2022.05.017,DOI landing page unresolved
REFINE-0216,Evaluation in late-life depression of intercellular adhesion molecule-1 expression in the dorsolateral prefrontal cortex,10.1176/appi.ajp.157.10.1682,Publisher HTTP 403: doi.org
REFINE-0217,Aberrant topographical organization in gray matter structural network in late life depression: A graph theoretical analysis,10.1017/s104161021300149x,DOI landing page unresolved
REFINE-0218,Localizing gray matter deficits in late-onset depression using computational cortical pattern matching methods,10.1176/appi.ajp.161.11.2091,Publisher HTTP 403: doi.org
REFINE-0219,Anterior cingulate volume reduction in adolescents with borderline personality disorder and co-morbid major depression,10.1016/j.jpsychires.2010.11.011,DOI landing page unresolved
REFINE-0220,Regional Gray Matter Changes Are Associated with Cognitive Deficits in Remitted Geriatric Depression: An Optimized Voxel-Based Morphometry Study,10.1016/j.biopsych.2008.04.032,DOI landing page unresolved
REFINE-0221,Electroconvulsive therapy response in late-life depression unaffected by age-related brain changes,10.1016/j.jad.2019.03.055,HTTP 404
REFINE-0222,Genetic vulnerability to affective psychopathology in childhood: A combined voxel-based morphometry and functional magnetic resonance imaging study,10.1016/j.biopsych.2009.01.033,Publisher HTTP 403: hdl.handle.net
REFINE-0223,Lifelong impact of extreme stress on the human brain: Holocaust survivors study,10.1016/j.ynstr.2021.100318,Publisher HTTP 403: doaj.org
REFINE-0225,Determining the effects of LLD and MCI on brain decline according to machine learning and a structural covariance network analysis,10.1016/j.jpsychires.2020.04.011,DOI landing page unresolved
REFINE-0226,White matter and subcortical gray matter lesion volume changes and late-life depression outcome: A 4-year magnetic resonance imaging study,10.1017/s1041610205002796,DOI landing page unresolved
REFINE-0227,Neurostructural impact of co-occurring anxiety in pediatric patients with major depressive disorder: A voxel-based morphometry study,10.1016/j.jad.2014.09.004,DOI landing page unresolved
REFINE-0228,Effects of antipsychotic medication on brain structure in patients with major depressive disorder and psychotic features: Neuroimaging findings in the context of a randomized placebo-controlled clinical trial,10.1001/jamapsychiatry.2020.0036,Publisher HTTP 403: jamanetwork.com
REFINE-0229,Effects of parental emotional warmth on the relationship between regional gray matter volume and depression-related personality traits,10.1080/17470919.2016.1174150,Publisher HTTP 403: doi.org
REFINE-0230,"Homer1a protein expression in schizophrenia, bipolar disorder, and major depression",10.1007/s00702-017-1776-x,DOI landing page unresolved
REFINE-0231,"Association between change in brain gray matter volume, cognition, and depression severity: Pre- and post- antidepressant pharmacotherapy for late-life depression",10.1016/j.jpsychires.2017.08.002,PMC full-text available as HTML; no downloadable PDF link found
